座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
1D,鋭石の刀,斬撃,80,,0,0,,,,0,,,,100,芯石,3,,,,,,
1I,からくり刀,斬撃,50,,0,0,,,,0,,,,100,芯石,1,,,,,,
1N,鋭石の刀・弐,斬撃,80,,0,0,,,,0,,,,100,芯石,3,,,,,,
3H,白樹の刀,斬撃,100,,0,0,早飲み 25%,,,2,,,,100,琥珀主の角,1,芯石,1,,,,
3I,初花の刀,斬撃,85,,0,0,,,,1,猛攻 +2,,,100,芯石,1,老樹の材木,1,,,,
3J,飛梅の狩刀,斬撃,85,,0,0,,,,1,会心の達人 3%,,,100,花宿の皮,1,,,,,,
4A,出水の彩刀,斬撃,85,水,80,5,会心強化・攻 8%,,,2,剣撃 6%,,,300,角走の頭角,1,珊瑚の欠片,5,芯石,4,,
4C,砂紋の隠し刃・弐,斬撃,180,,0,-10,余裕 4%,,,1,水の弱体術 3%,巧手の妙・攻 4%,,300,砂鼓の爪,3,砂鼓の鉄塊,2,小獣の甲殻,3,芯石,10
4E,白樹の刀・弐,斬撃,97,,0,0,奮起 10%,,,1,風の弱体術 3%,からくり連携・癒 +2,,100,琥珀主の葉髭,3,琥珀主の硬液,3,尖った鱗,2,芯石,10
4G,沙羅の彩刀 ,斬撃,90,風,80,5,奇襲 60%,,,2,糸好き +1,,,300,姫鶏冠の皮,1,姫鶏冠の頭冠,1,芯石,4,,
4H,蔦若葉の彩刀,斬撃,100,樹,20,0,追い打ち 13%,,,0,剛腕・心 4%,,,300,山穿槌の牙,1,山穿槌の皮,1,芯石,4,,
4J,飛梅の狩刀・弐,斬撃,95,,0,0,滞空姿勢 25%,,,1,会心の達人 3%,一笠一杖 8%,,100,花宿の牙,3,花宿の梅実,3,小晶鉱,2,芯石,3
4K,獄刀 石楠花,斬撃,105,火,80,0,韋駄天  5%,,,2,ながら飲み 17%,,,300,地獄猿の牙,1,地獄猿の泥石,1,芯石,6,,
4M,砂紋の隠し刃,斬撃,160,,0,-10,早飲み 25%,,,1,再利用 10%,示現開放 16%,,300,砂鼓の狸袋,1,砂鼓の鉄塊,1,青石,3,芯石,4
4O,磊刀 震天動地,斬撃,110,土,80,0,受身上手 13%,,,2,土の弱体術 3%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
4Q,木子の機刀,斬撃,235,,0,0,回避の達人 8%,,,2,奮起 6%,,,600,笠宿子の牙,2,笠宿子の爪,2,芯石,6,,
5A,雨水の彩刀,斬撃,165,水,120,0,剛腕・糸 +6,,,3,受身上手13%,,,600,城穿槌の牙,3,城穿槌の氷樹,2,芯石,10,,
5G,沙羅の彩刀・弐,斬撃,135,風,120,0,飛鳥の守護 8%,,,3,からくり連携・攻 4%,,,300,姫鶏冠の頭冠,5,姫鶏冠の爪,5,鏡石,4,鉱石,4
5H,くさびらの狩刀,斬撃,130,樹,120,0,仁王立ち 25%,,,2,奇襲 40%,からくり連携・攻 4%,,600,笠宿子の牙,3,笠宿子の肉柄,2,芯石,6,,
5J,白樹の刀・参,斬撃,150,,0,0,仁王立ち 25%,,,2,樹の弱体術 3%,,,100,琥珀主の葉髭,5,琥珀主の硬液,5,光石,2,芯石,10
5K,獄刀 石楠花・弐,斬撃,150,火,120,0,掴み上手 7%,,,3,[獣道皆伝]虎穴の猛攻 5%,,,300,地獄猿の泥石,1,地獄猿の尻尾,1,子ザルの臓石,3,芯石,20
5M,砂紋の隠し刃・参,斬撃,185,,0,-10,滞空姿勢 25%,,,3,火の弱体術 3%,,,300,砂鼓の爪,2,砂鼓の尻尾,2,鏡石,3,鉱石,4
5O,鬼薄の彩刀,斬撃,135,土,120,0,切り出し上手,,,3,軽功転戦 10%,,,600,屍荒の棘毛,2,屍荒の牙,3,屍荒の尻尾,3,芯石,6
